# energy_eV	efficiency	events_with_hits	total_events
1.000000e-03	1.897950e-03	37959	20000000
1.200000e-03	1.893650e-03	37873	20000000
1.400000e-03	1.864700e-03	37294	20000000
1.700000e-03	1.861450e-03	37229	20000000
2.000000e-03	1.826600e-03	36532	20000000
2.400000e-03	1.771850e-03	35437	20000000
2.800000e-03	1.740250e-03	34805	20000000
3.400000e-03	1.691150e-03	33823	20000000
4.000000e-03	1.623750e-03	32475	20000000
4.800000e-03	1.587050e-03	31741	20000000
5.700000e-03	1.529200e-03	30584	20000000
6.800000e-03	1.461300e-03	29226	20000000
8.100000e-03	1.394950e-03	27899	20000000
9.600000e-03	1.331350e-03	26627	20000000
1.140000e-02	1.251300e-03	25026	20000000
1.360000e-02	1.194350e-03	23887	20000000
1.610000e-02	1.134250e-03	22685	20000000
1.920000e-02	1.052000e-03	21040	20000000
2.280000e-02	9.922500e-04	19845	20000000
2.720000e-02	9.251000e-04	18502	20000000
3.230000e-02	8.691000e-04	17382	20000000
3.850000e-02	8.058500e-04	16117	20000000
4.580000e-02	7.349500e-04	14699	20000000
5.450000e-02	6.856000e-04	13712	20000000
6.480000e-02	6.252500e-04	12505	20000000
7.710000e-02	5.753000e-04	11506	20000000
9.180000e-02	5.348500e-04	10697	20000000
1.092000e-01	4.828500e-04	9657	20000000
1.299000e-01	4.553000e-04	9106	20000000
1.546000e-01	4.049000e-04	8098	20000000
1.839000e-01	3.709000e-04	7418	20000000
2.189000e-01	3.451000e-04	6902	20000000
2.604000e-01	3.161000e-04	6322	20000000
3.098000e-01	2.902500e-04	5805	20000000
3.687000e-01	2.615500e-04	5231	20000000
4.387000e-01	2.473500e-04	4947	20000000
5.219000e-01	2.179500e-04	4359	20000000
6.210000e-01	2.061000e-04	4122	20000000
7.389000e-01	1.818500e-04	3637	20000000
8.792000e-01	1.796500e-04	3593	20000000
1.046100e+00	1.510000e-04	3020	20000000
1.244700e+00	1.484000e-04	2968	20000000
1.481000e+00	1.329500e-04	2659	20000000
1.762100e+00	1.212000e-04	2424	20000000
2.096600e+00	1.080500e-04	2161	20000000
2.494700e+00	1.023000e-04	2046	20000000
2.968300e+00	9.110000e-05	1822	20000000
3.531800e+00	8.700000e-05	1740	20000000
4.202200e+00	7.910000e-05	1582	20000000
5.000000e+00	7.180000e-05	1436	20000000
